"Source:","/Users/manawyrm/Entwicklung/16bit-lvds-fx3-framegrabber/16bit-lvds-fx3-framegrabber/16bit-lvds-fx3-framegrabber.kicad_sch"
"Date:","2024-12-14T22:46:10+0100"
"Tool:","Eeschema 8.0.4"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","70"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Datasheet","Description","Footprint","LCSC","LCSC Part"
"1","21","C1, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22","100n 16V","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","~","Unpolarized capacitor","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C1525",""
"2","1","C2","2kV 1nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","~","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric","C9196",""
"3","3","C23, C24, C25","10uF 16V","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I","~","","~","Polarized capacitor","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I","C7171",""
"4","1","J1","GPIFII_J7","gpifii_j7:GPIFII_J7","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","","","","","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","C50980",""
"5","1","J2","GPIFII_J6","gpifii_j6:GPIFII_J6","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","","","","","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","C50980",""
"6","1","R1","100k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","~","Resistor","Resistor_SMD:R_1206_3216Metric","C17900",""
"7","20","R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21","33R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","~","Resistor","Resistor_SMD:R_0402_1005Metric","C25105",""
"8","1","U1","5787082-5","16bit-lvds-fx3-framegrabber:5787082-5","16bit-lvds-fx3-framegrabber:DSUB-TH_5787082-5","","","","","16bit-lvds-fx3-framegrabber:DSUB-TH_5787082-5","","C3119894"
"9","20","U2, U3, U4, U5, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21","SN65LVDT2DBV","Interface:SN65LVDT2DBV","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/sn65lvdt2.pdf","","https://www.ti.com/lit/ds/symlink/sn65lvdt2.pdf","High-Speed Differential Line Receiver, 110 Î© Terminated, 630Mbps, SOT-23-5","Package_TO_SOT_SMD:SOT-23-5","C130020",""
"10","1","U22","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","http://www.advanced-monolithic.com/pdf/ds1117.pdf","1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186",""
